r_left,r_right,b_left,b_right,u_left,u_right,lower_bound_F,upper_bound_F
0.50414,0.50801390625,0.98009265041247977776336669921875,1,0,0.0625,"[-1.9688668186013784656, -1.9688668186013784656]","[-0.11594840264324932089, -0.11594840264324932089]"
0.50414,0.50801390625,0.98009265041247977776336669921875,1,0.0625,0.125,"[-2.0093971121837816973, -2.0093971121837816973]","[-0.20286532547055588505, -0.20286532547055588505]"
0.50414,0.50801390625,0.98009265041247977776336669921875,1,0.125,0.25,"[-2.4676288606390186509, -2.4676288606390186509]","[-0.10493220129195665602, -0.10493220129195665602]"
0.50414,0.50801390625,0.98009265041247977776336669921875,1,0.25,0.5,"[-3.472553318987924964, -3.472553318987924964]","[-0.10738110486852067704, -0.10738110486852067704]"
0.50414,0.50801390625,0.98009265041247977776336669921875,1,0.5,1,"[-5.6994849591954466206, -5.6994849591954466206]","[-0.50044830044049370965, -0.50044830044049370965]"
0.50801390625,0.5118878125,0.97055974894869977288818359375,1,0,0.03125,"[-2.0935700078005452518, -2.0935700078005452518]","[-0.088770085978703033858, -0.088770085978703033858]"
0.50801390625,0.5118878125,0.97055974894869977288818359375,1,0.03125,0.0625,"[-2.1056677132560017718, -2.1056677132560017718]","[-0.1138648157949879447, -0.1138648157949879447]"
0.50801390625,0.5118878125,0.97055974894869977288818359375,1,0.0625,0.125,"[-2.3156416779232791292, -2.3156416779232791292]","[-0.019023180191607619305, -0.019023180191607619305]"
0.50801390625,0.5118878125,0.97055974894869977288818359375,1,0.125,0.1875,"[-2.4062253721537074647, -2.4062253721537074647]","[-0.13380469719307216958, -0.13380469719307216958]"
0.50801390625,0.5118878125,0.97055974894869977288818359375,1,0.1875,0.25,"[-2.5305135784089158868, -2.5305135784089158868]","[-0.27193155197697421732, -0.27193155197697421732]"
0.50801390625,0.5118878125,0.97055974894869977288818359375,1,0.25,0.375,"[-3.0391542038807961568, -3.0391542038807961568]","[-0.24476743366309380856, -0.24476743366309380856]"
0.50801390625,0.5118878125,0.97055974894869977288818359375,1,0.375,0.5,"[-3.389492475197547261, -3.389492475197547261]","[-0.6230156160990224512, -0.6230156160990224512]"
0.50801390625,0.5118878125,0.97055974894869977288818359375,1,0.5,1,"[-5.9548375364402357235, -5.9548375364402357235]","[-0.2827089166770532791, -0.2827089166770532791]"
